review_id,review_text,rating,date,bank_name,app_name,source,thumbs_up
5860d6f3-15d5-456b-aabe-bf92bd885546,very smart App easy to use and friendly,5,2025-11-29,DASHEN,DASHEN Mobile,Google Play Store,0
39f85efe-9d6d-4974-910c-4f7174f6a8e0,Very exemplery App to other Bank Aps !,5,2025-11-28,DASHEN,DASHEN Mobile,Google Play Store,0
3ea761da-10b0-472e-9c3f-89a9f23e4c88,good,5,2025-11-28,DASHEN,DASHEN Mobile,Google Play Store,0
157e868c-386f-4837-bb1f-1301dd194075,It Is An Amazing app,4,2025-11-27,DASHEN,DASHEN Mobile,Google Play Store,0
9504f5cc-7f16-4fe0-8ba5-f76eef162f8b,"its fast and easy to communicate to the app and its available all area keep it up.i will make Happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.",5,2025-11-26,DASHEN,DASHEN Mobile,Google Play Store,0
d29af33e-3f63-4b7e-9312-b63f7d2c6724,What do you care about my phone's settings? Who are you to tell me what to turn off and on? It is my phone after all. This *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. Turn this thing off. 6 you fear this is a security issue fix your side not mine.,1,2025-11-25,DASHEN,DASHEN Mobile,Google Play Store,0
9b84c588-bde5-46b7-930c-c638ca26212d,Exceptional Product.,5,2025-11-23,DASHEN,DASHEN Mobile,Google Play Store,0
3d668840-c868-4164-8efe-9295ef537613,very easy app,3,2025-11-22,DASHEN,DASHEN Mobile,Google Play Store,0
eeb816b9-14d4-4d91-a3b5-90b391850faa,"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!..",5,2025-11-19,DASHEN,DASHEN Mobile,Google Play Store,52
bfff7fbc-253a-4538-9483-345a271fc2eb,በጣም ፈጣን ሥቹ አስተማማኝ ወድጃዋለው,5,2025-11-18,DASHEN,DASHEN Mobile,Google Play Store,0
51268efb-62a7-4121-9fc7-d0b377a32aab,bill payment options are limited in this app please add ethio telecom bill electric bill etc.. instead of adding nonsense in banking app,1,2025-11-18,DASHEN,DASHEN Mobile,Google Play Store,0
dabda953-ac0a-476a-8791-c6a66deebc20,"it's a really slow app, I'm not sure what the issue is. Even other bank transfers are not working",2,2025-11-18,DASHEN,DASHEN Mobile,Google Play Store,1
20f428da-b44d-4d32-8ba6-6a7432a66028,always updating bad stability,1,2025-11-17,DASHEN,DASHEN Mobile,Google Play Store,0
15bd455e-6fb5-4dc8-8068-cc051fcd5d79,"it say's disable developer option, i disabled it but its not working still",1,2025-11-17,DASHEN,DASHEN Mobile,Google Play Store,1
b2fb954d-1f3b-4b0b-9ab2-7a6da576cf26,with the super app evry thing i need is just a tap away,5,2025-11-16,DASHEN,DASHEN Mobile,Google Play Store,0
27acef09-1136-4d2f-9f5d-82c4a30abd2d,nice,5,2025-11-16,DASHEN,DASHEN Mobile,Google Play Store,0
8babe417-ec30-4ba1-a860-03150c5daf7c,eyita tips,1,2025-11-15,DASHEN,DASHEN Mobile,Google Play Store,0
