review_id,bank_name,review_text,sentiment_label,rating,themes,primary_theme
cb37b096-e071-4f0f-a8fd-067b7d71706d,CBE,cbe,POSITIVE,5,general_feedback,general_feedback
70f504ff-daed-40d9-9c89-cc49a95ef659,CBE,its special for me,POSITIVE,5,general_feedback,general_feedback
28f229b5-0026-41b9-a1eb-b76e74736f63,CBE,make it user friendly,POSITIVE,2,ui_ux_feedback,ui_ux_feedback
68d8daea-db47-4e23-a692-755173dea983,CBE,maaliif daddafee install gaafata,NEGATIVE,3,general_feedback,general_feedback
ee0dbb0e-4eb0-47b5-9874-c37877493f99,CBE,good app,POSITIVE,5,general_feedback,general_feedback
5112423d-e618-44ba-ba49-62677cb76cd6,CBE,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country,POSITIVE,5,transaction_problems,transaction_problems
bcb34681-1dd4-4781-b400-4393bb10b1d9,CBE,why didnt work this app,NEGATIVE,1,general_feedback,general_feedback
c69f051a-00f8-4144-8423-b7ebcd328d2d,CBE,the app makes our life easier thank you cbe,POSITIVE,5,general_feedback,general_feedback
d2995fb9-63c6-4bfc-8d3c-93a0ee9dba8f,CBE,this app very bad,NEGATIVE,1,general_feedback,general_feedback
f8002d06-b5c5-4ed1-9d51-a9a379304cf8,CBE,the most advanced app but how to stay safe,NEUTRAL,5,security_concerns,security_concerns
81000db5-aa51-467e-826c-fc96160e96a8,CBE,good application,POSITIVE,4,general_feedback,general_feedback
3d88a334-958c-4717-9f97-c5d46359e054,CBE,it is nice app,POSITIVE,5,general_feedback,general_feedback
99d376ea-4824-4af9-a093-27360acc3a5c,CBE,best,POSITIVE,5,general_feedback,general_feedback
f1861daf-a1ed-407a-9e7c-295edbb3877d,CBE,good app,POSITIVE,5,general_feedback,general_feedback
fd178fb7-7026-4d02-98a0-5c86c3bd56f5,CBE,it suddenly asked me to enter the verification key i received and it get your verification key from the nearest cbe branch now im in australia what do you expect me to do there is no nearest or furthermost cbe branch so frustrating how can i manage my bank account now,NEGATIVE,1,general_feedback,general_feedback
571c66c6-fd18-437b-b8e5-8c443e9db2df,CBE,nice app,POSITIVE,5,general_feedback,general_feedback
7b5b3f8c-a0f4-4a15-973a-ff5971ad15fb,CBE,very good banking service and fast service,POSITIVE,5,customer_support,customer_support
3a75b79a-002f-4fc2-b6f0-dd8d187e8663,CBE,thanks blc this app help me to use all time,POSITIVE,5,customer_support,customer_support
6518498e-441c-407d-b546-35a12a98645a,CBE,good,POSITIVE,5,general_feedback,general_feedback
f2f0cff2-6181-4a3a-926f-5b3491ca4cf8,CBE,why we cant send money to other people telebirr wallets,NEGATIVE,1,transaction_problems,transaction_problems
00b0b11a-7698-4ce2-8d6e-e6166ee2a39b,CBE,birr,NEGATIVE,1,general_feedback,general_feedback
ad22eeae-dc82-4954-983c-472a262ddc6a,CBE,,NEUTRAL,5,general_feedback,general_feedback
ad9f4094-ff79-4353-a8b0-d00cfba75ed5,CBE,wow,POSITIVE,5,general_feedback,general_feedback
07a6da77-35b8-4ea4-8138-90770842ff0e,CBE,good,POSITIVE,5,general_feedback,general_feedback
cd144ce6-efeb-41c2-8247-e57a64bb0181,CBE,nice,POSITIVE,5,general_feedback,general_feedback
8d4577a0-0e73-4113-9479-5764db25dcb7,CBE,you are the reason why i got ye chogara himem,NEGATIVE,1,general_feedback,general_feedback
f077c10c-a958-4812-a779-1077c52fbf45,CBE,it is so smart app i recommend it for everyone,POSITIVE,5,general_feedback,general_feedback
efddfaa5-0542-45ef-80ae-8183cf70bdb0,CBE,excellent,POSITIVE,5,general_feedback,general_feedback
3a277a8e-a6b2-4dac-adb4-8fb592d1c859,CBE,good,POSITIVE,5,general_feedback,general_feedback
2c2a42d8-dad4-4935-bc1b-e5960c9a6e33,CBE,,NEUTRAL,5,general_feedback,general_feedback
83111490-271d-4491-9b82-8d8ddf3afb26,CBE,absolutely right,POSITIVE,5,general_feedback,general_feedback
f2bad133-c6ea-4fd5-bc97-1e3fbba1c2c9,CBE,good app,POSITIVE,5,general_feedback,general_feedback
6e1b6127-57b8-44a9-ab08-cdf7e0782c7d,CBE,mid application its so annoying,NEGATIVE,3,general_feedback,general_feedback
d4184dff-ee60-4895-846f-13872d75735a,CBE,i used morethan one year,NEGATIVE,4,general_feedback,general_feedback
807ff291-9236-45ca-8c37-3028ef08f388,CBE,no word can explane about this app it is nice,NEUTRAL,5,general_feedback,general_feedback
afc51143-03ed-4129-b47b-fd1eaad21b07,CBE,its great appi love this app,POSITIVE,5,general_feedback,general_feedback
ad11fbc9-52cc-48f3-adc4-d348a5194089,CBE,nice,POSITIVE,5,general_feedback,general_feedback
942e6ee2-44c6-45f8-b978-01e9b62d001f,CBE,suckkkks,NEGATIVE,1,general_feedback,general_feedback
9b9850c0-7914-49c8-a51c-7265775accfe,CBE,not allowing to transfer and showing current statement updates,NEGATIVE,1,"transaction_problems, app_updates",transaction_problems
9094dfc5-ed8d-4ab9-8605-0f5681a5ee8e,CBE,i love you this app,POSITIVE,5,general_feedback,general_feedback
3c30aa12-7f92-49c8-8986-69ed8b81f79f,CBE,fast and convenient app thanks for your dedication as a bank to provide good options to your cuatomers,POSITIVE,1,general_feedback,general_feedback
48d2b2a8-40ea-47bc-b524-322d0d7bf7e4,CBE,make life easy,POSITIVE,5,ui_ux_feedback,ui_ux_feedback
b9b4ccbb-9d0b-4d61-b7b5-90f5d83b3838,CBE,securr,NEGATIVE,5,general_feedback,general_feedback
b81fb6db-71c3-4009-9324-fe187120823c,CBE,my most optional bank,POSITIVE,5,general_feedback,general_feedback
370d336c-0c66-4ea8-a043-d044d4560101,CBE,star,POSITIVE,5,general_feedback,general_feedback
9b4043ef-a80d-4e57-bbad-1b2784dc4c45,CBE,it is fantastic app,POSITIVE,5,general_feedback,general_feedback
c384e116-009b-4ff7-85fc-5d0f10f68cda,CBE,excellent,POSITIVE,5,general_feedback,general_feedback
3f06e0e7-cb06-42f1-b61c-2bd59d7713af,CBE,sifen,NEGATIVE,5,general_feedback,general_feedback
4f5a3389-5bda-4229-a5d3-4b749fc05764,CBE,i like this,POSITIVE,4,general_feedback,general_feedback
58bd2807-7583-4142-bd14-75e98e1dcda3,CBE,ok,NEUTRAL,3,general_feedback,general_feedback
7a9182e8-718b-4529-a7f3-aadaf46f1493,CBE,app update cache cleaning app login restricted,NEGATIVE,5,"login_issues, app_updates",login_issues
a9d5aab4-636f-4392-8bc6-ccad890de66e,CBE,seriously whats going on with this app the pay to beneficiary option is completely disabled for android users yet ios users get full access without restrictions why are android users being treated like second class customers its the same app the same service but clearly not the same experience this kind of platform bias is unacceptable either give everyone the same features or be transparent about why youre limiting functionality right now it just feels unfair and frustrating,NEGATIVE,1,customer_support,customer_support
a18b512c-7431-4903-9cc3-1002cf449cff,CBE,like,POSITIVE,5,general_feedback,general_feedback
7bdc58ea-d854-4b9c-9748-642bada48ecd,CBE,nice and very useful app i like it,POSITIVE,5,general_feedback,general_feedback
dde272da-1847-40d2-98c4-dcb5e19e7eac,CBE,good,POSITIVE,5,general_feedback,general_feedback
96f98a42-ec49-4dbf-b37d-216f6770a700,CBE,good,POSITIVE,5,general_feedback,general_feedback
490c7067-5296-4df0-902e-67a6707a1506,CBE,good,POSITIVE,5,general_feedback,general_feedback
1315ef77-540f-4b87-9b6a-7868f1a343e0,CBE,smart app,POSITIVE,4,general_feedback,general_feedback
82c43412-9579-4b3c-b17e-702aef388e16,CBE,good app,POSITIVE,5,general_feedback,general_feedback
34d6492b-f6e7-42ed-851a-348ab215c36a,CBE,sync problem may but the date stack on may help pls,NEGATIVE,5,customer_support,customer_support
cd12a5ee-2573-44e9-81ea-de8118bb8fa2,CBE,ok,NEUTRAL,5,general_feedback,general_feedback
b4a45bdc-60cc-4355-92f7-9291f8c59ee5,CBE,cbe is my choice,POSITIVE,4,general_feedback,general_feedback
f7a289b4-7031-4d28-abb6-8b292f52241e,CBE,awesome,POSITIVE,5,general_feedback,general_feedback
60963970-3671-488b-8810-3b3edaddf571,CBE,i am not able to transfer the app is not responding,NEGATIVE,1,"transaction_problems, performance_issues",transaction_problems
